TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
3/3/2025,20250303,14,899387,779.641,2088.76,78
3/3/2025,20250303,15,899387,566.167,1489.3,60
3/3/2025,20250303,16,899387,835.199,2238.22,78
3/3/2025,20250303,17,899387,803.489,2160.11,72
3/3/2025,20250303,18,899387,799.064,2166.86,74
3/3/2025,20250303,19,899387,557.976,1518.61,53
3/3/2025,20250303,20,899387,444.959,1183.93,48
3/3/2025,20250303,21,899387,213.182,585.6,28
3/3/2025,20250303,22,899387,261.678,698.58,27
3/3/2025,20250303,23,899387,249.552,687.04,26
3/4/2025,20250304,0,899387,162.808,446.48,19
3/4/2025,20250304,1,899387,30.871,89.66,3
3/4/2025,20250304,2,899387,145.73,370.61,17
3/4/2025,20250304,3,899387,56.984,147.71,7
3/4/2025,20250304,4,899387,173.342,455.24,16
3/4/2025,20250304,5,899387,249.494,624.32,29
3/4/2025,20250304,6,899387,639.924,1702.02,50
3/4/2025,20250304,7,899387,838.143,2303.11,59
3/4/2025,20250304,8,899387,621.379,1650.03,52
3/4/2025,20250304,9,899387,511.19,1360.91,48
3/4/2025,20250304,10,899387,547.411,1490.41,55
3/4/2025,20250304,11,899387,847.039,2351.96,74
3/4/2025,20250304,12,899387,895.27,2388.17,68
3/4/2025,20250304,13,899387,893.853,2454.25,69
3/4/2025,20250304,14,899387,705.808,1931.75,62
3/4/2025,20250304,15,899387,822.289,2204.75,81
3/4/2025,20250304,16,899387,999.553,2685.94,87
3/4/2025,20250304,17,899387,1194.346,3192.18,110
3/4/2025,20250304,18,899387,836.244,2265.08,73
3/4/2025,20250304,19,899387,663.591,1803.9,59
3/4/2025,20250304,20,899387,602.309,1649.84,59
3/4/2025,20250304,21,899387,456.994,1217.04,44
3/4/2025,20250304,22,899387,361.334,982.52,39
3/4/2025,20250304,23,899387,263.738,735.98,25
3/5/2025,20250305,0,899387,140.651,385.95,17
3/5/2025,20250305,1,899387,80.703,217.61,11
3/5/2025,20250305,2,899387,56.894,153.12,5
3/5/2025,20250305,3,899387,96.688,279.38,10
3/5/2025,20250305,4,899387,94.858,254.33,11
3/5/2025,20250305,5,899387,299.653,804.45,31
3/5/2025,20250305,6,899387,442.312,1191.87,38
3/5/2025,20250305,7,899387,944.582,2559.23,68
3/5/2025,20250305,8,899387,786.898,2129.87,66
3/5/2025,20250305,9,899387,646.645,1707.77,65
3/5/2025,20250305,10,899387,597.048,1680.1,50
3/5/2025,20250305,11,899387,887.84,2465.14,80
3/5/2025,20250305,12,899387,1163.195,3154.01,90
3/5/2025,20250305,13,899387,897.051,2427.49,82
3/5/2025,20250305,14,899387,726.855,1966.7,65
3/5/2025,20250305,15,899387,718.613,1959.25,60
3/5/2025,20250305,16,899387,826.876,2277.42,74
3/5/2025,20250305,17,899387,968.927,2714.53,86
3/5/2025,20250305,18,899387,763.61,2092.87,62
3/5/2025,20250305,19,899387,665.806,1861.32,64
3/5/2025,20250305,20,899387,643.898,1759.31,58
3/5/2025,20250305,21,899387,374.903,1027.26,42
3/5/2025,20250305,22,899387,276.259,744.5,26
3/5/2025,20250305,23,899387,200.208,538.58,21
3/6/2025,20250306,0,899387,113.696,301.7,17
3/6/2025,20250306,1,899387,92.529,247.55,13
3/6/2025,20250306,2,899387,112.081,300.26,11
3/6/2025,20250306,3,899387,153.419,420.4,15
3/6/2025,20250306,4,899387,104.971,288.87,13
3/6/2025,20250306,5,899387,347.798,921.15,29
3/6/2025,20250306,6,899387,545.534,1514.69,50
3/6/2025,20250306,7,899387,954.205,2657.98,63
3/6/2025,20250306,8,899387,714.712,1902.98,61
3/6/2025,20250306,9,899387,510.231,1407.83,52
3/6/2025,20250306,10,899387,609.677,1631.51,56
3/6/2025,20250306,11,899387,839.73,2308.84,72
3/6/2025,20250306,12,899387,949.285,2663.11,78
3/6/2025,20250306,13,899387,876.01,2452.75,76
3/6/2025,20250306,14,899387,791.972,2139.81,74
3/6/2025,20250306,15,899387,753.122,2058.14,60
3/6/2025,20250306,16,899387,1068.492,2924.18,95
3/6/2025,20250306,17,899387,891.648,2421.06,86
3/6/2025,20250306,18,899387,806.615,2179.97,76
3/6/2025,20250306,19,899387,536.006,1456.34,55
3/6/2025,20250306,20,899387,529.395,1499.35,49
3/6/2025,20250306,21,899387,264.452,746.67,28
3/6/2025,20250306,22,899387,266.891,698.1,27
3/6/2025,20250306,23,899387,103.725,287.01,17
3/7/2025,20250307,0,899387,86.413,225.59,10
3/7/2025,20250307,1,899387,118.238,313.9,12
3/7/2025,20250307,2,899387,40.623,105.28,6
3/7/2025,20250307,3,899387,48.307,138.61,6
3/7/2025,20250307,4,899387,192.712,536.08,17
3/7/2025,20250307,5,899387,313.017,846.71,30
3/7/2025,20250307,6,899387,508.216,1361.64,50
3/7/2025,20250307,7,899387,1017.636,2842.5,79
3/7/2025,20250307,8,899387,877.522,2396.37,74
3/7/2025,20250307,9,899387,708.612,1930.46,61
3/7/2025,20250307,10,899387,717.139,1989.45,56
3/7/2025,20250307,11,899387,851.471,2314.89,75
3/7/2025,20250307,12,899387,1006.273,2828.63,80
3/7/2025,20250307,13,899387,996.535,2758.82,84
3/7/2025,20250307,14,899387,1033.779,2802.93,81
3/7/2025,20250307,15,899387,940.959,2599.63,89
3/7/2025,20250307,16,899387,862.705,2293.59,82
3/7/2025,20250307,17,899387,897.666,2465.65,82
3/7/2025,20250307,18,899387,769.513,2094.92,70
3/7/2025,20250307,19,899387,584.332,1614.07,54
3/7/2025,20250307,20,899387,424.217,1133.34,41
3/7/2025,20250307,21,899387,384.836,1025.65,39
3/7/2025,20250307,22,899387,271.009,723.35,35
3/7/2025,20250307,23,899387,201.424,554.39,26
3/8/2025,20250308,0,899387,97.897,274.63,12
3/8/2025,20250308,1,899387,111.094,309.14,12
3/8/2025,20250308,2,899387,43.518,113.38,7
3/8/2025,20250308,3,899387,105.764,281.31,11
3/8/2025,20250308,4,899387,137.316,377.25,14
3/8/2025,20250308,5,899387,174.385,459.19,18
3/8/2025,20250308,6,899387,216.835,598.29,21
3/8/2025,20250308,7,899387,285.519,779.46,28
3/8/2025,20250308,8,899387,452.08,1211.01,40
3/8/2025,20250308,9,899387,693.302,1902.84,57
3/8/2025,20250308,10,899387,719.932,1999.76,69
3/8/2025,20250308,11,899387,866.716,2381.51,71
3/8/2025,20250308,12,899387,787.262,2153.41,72
3/8/2025,20250308,13,899387,778.151,2159.23,75
3/8/2025,20250308,14,899387,925.284,2548.24,85
3/8/2025,20250308,15,899387,747.579,2037.65,73
3/8/2025,20250308,16,899387,741.061,2053.14,67
3/8/2025,20250308,17,899387,737.512,2067.59,69
3/8/2025,20250308,18,899387,778.007,2083.48,68
3/8/2025,20250308,19,899387,438.743,1186.11,45
3/8/2025,20250308,20,899387,431.1,1141.16,47
3/8/2025,20250308,21,899387,269.848,722.69,30
3/8/2025,20250308,22,899387,294.299,805.03,29
3/8/2025,20250308,23,899387,295.347,801.01,31
3/9/2025,20250309,0,899387,169.073,468.27,14
3/9/2025,20250309,1,899387,66.116,176.18,9
3/9/2025,20250309,3,899387,80.916,216.56,9
3/9/2025,20250309,4,899387,102.776,270.64,11
3/9/2025,20250309,5,899387,53.828,148.8,6
3/9/2025,20250309,6,899387,72.584,192.44,8
3/9/2025,20250309,7,899387,153.438,429.08,17
3/9/2025,20250309,8,899387,178.511,459.91,17
3/9/2025,20250309,9,899387,312.221,864.28,33
3/9/2025,20250309,10,899387,512.055,1421.29,53
3/9/2025,20250309,11,899387,412.843,1150.07,37
3/9/2025,20250309,12,899387,826.268,2232.4,76
3/9/2025,20250309,13,899387,764.058,2078.7,76
3/9/2025,20250309,14,899387,907.065,2483.1,84
3/9/2025,20250309,15,899387,622.03,1706.59,65
3/9/2025,20250309,16,899387,572.793,1569.35,60
3/9/2025,20250309,17,899387,860.353,2320.54,80
3/9/2025,20250309,18,899387,479.592,1308.53,50
3/9/2025,20250309,19,899387,453.06,1235.42,44
3/9/2025,20250309,20,899387,335.163,925.04,38
3/9/2025,20250309,21,899387,344.125,911.92,46
3/9/2025,20250309,22,899387,282.166,753.58,31
3/9/2025,20250309,23,899387,204.895,552.78,20
3/10/2025,20250310,0,899387,196.029,553.04,22
3/10/2025,20250310,1,899387,69.51,180.84,9
